actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,return_mean
-0.006799536757171154,mappo,6.8950694185332395e-06,0.8505560159683228,0.000977192397465822,76.0,,,,,,,,,,,,,,0.0,,,,,0.0160690750926733,0.0
,mappo,,,,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.004568022675812244,mappo,4.2065516936418135e-06,0.8530898094177246,0.0009768922974324776,77.0,,,,,,,,,,,,,,0.0,,,,,0.01587582379579544,0.0
,mappo,,,,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0007494657766073942,mappo,6.370139999489766e-06,0.8459266424179077,0.0009765921973991331,78.0,,,,,,,,,,,,,,0.0,,,,,0.01613510772585869,0.0
,mappo,,,,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0023468586150556803,mappo,2.1511521026695846e-06,0.8468886017799377,0.0009762920973657886,79.0,,,,,,,,,,,,,,0.0,,,,,0.016095347702503204,0.0
,mappo,,,,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0017499566311016679,mappo,2.8650281365116825e-06,0.8578196167945862,0.0009759919973324441,80.0,,,,,,,,,,,,,,0.0,,,,,0.01641656830906868,0.0
,mappo,,,,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
